Exterior Description,Directions,Fireplace Y/N,Irrigation Water Rights Y/N,Inclusions,Basement,Bedrooms Possible,Window Features,Land Lease Y/N,Garage Y/N,Gulf-Front,Baths Full Lower,Interior Amenities,Living Area,Building Area Units,Street Name,Air Conditioning Y/N,Close Price,Parcel Number,FuelDescription,Stories Count,Bathrooms,Association Fee Includes,Bedrooms Upper,Property Style,PropertySubType,Assoc Fee Paid Per,Heating Y/N,Standard Status,Baths Half Lower,Accessory Dwelling Unit,Hot Water,MobileHomeRemainsYN,Public Remarks,description,Waterfront Features,Water Heater Location,Waterfront Footage,Exterior Features,ADU,Adult Family Homes,Baths Three Quarter Main,Open Parking Y/N,Total Parking,Property Subtype,Site Features,Street Suffix,1/2 Baths,Interior Features,Accessibility,Sewer,Zoning Description,Full Baths,Green Energy Generation,Heating,address,Fireplaces Lower,Skirt,Road Surface Type,Security Features,Green Verification NWESH Rating,Covered Spaces,house_size,Park Name,Middle/Junior High School,Tax Annual Amount,Virtual Tour,Building Name,WaterfrontY/N,price,Building Area Total,Subdivision Name,Year Built,NWM_ShowMapLink,MLS Area,Accessory Dwelling Unit Y/N,Bedrooms Lower,Baths Three Quarter Garage,Home Owner Assoc,HOA / Comm Assn,Community Features,Baths Full Garage,Lot Size Units,ModificationTimestamp,Pool Type,Green Building Verification Type,Baths Full Main,Lot Size Square Feet,Unit Number,Fireplaces Upper,baths,Power Production Type,Baths Three Quarter Upper,Living Area Units,Possession,Levels,Property SubType,Elementary School,Attached Garage,Building Design,Disclosures,Open Parking Spaces,Make,Roof,VA loan,Appliances,Home Owner Assoc:,Pool Features,Body Type,Legal Description,View,Other Rooms,Baths Half Main,Water Heater Type,Total Baths,Land Lease Amount Frequency,Vegetation,Status,Spa,lot_size,High School,Lot Number,Storage Locattion,Total Bathrooms,Builder Name,Baths Half Upper,Cooling,Water Source,New Construction,Senior Community Y/N,Topography,3/4 Baths,Half Baths,Total Actual Rent,Carport Spaces,Water Company,Structure Type,SeniorCommunityYn,Land Lease Amount,Terms,Fireplace Features,Pets Allowed,Flooring,High School District,Green Verification HERS Metric,Carport Y/N,Green Verification Built Green Rating,Parking Features,Entry Location,Special Listing Conditions,Exterior Amenities,AFH,Facing Direction,HOA,Tax Year,Property Type,Total Bedrooms,Energy Efficient,City,Home Owner Association Y/N,Lot Dimensions,url,Lot Size Acres,Total Fireplaces,Fireplaces Main,HOA Fee,Main Level Bedrooms,Buyer Financing,status,AttributionContact,Parking Uncovered Total,Property Condition,Baths Half Garage,Model,Architectural Style,Garage Spaces,ListingTerms,Baths Full Upper,Foundation Details,Waterfront Y/N,Baths Three Quarter Lower,beds,Listing Terms,View Y/N,County,Lot Features,Number of Homes in Park,Assoc/CIC,Latitude,Longitude
,,No,No,,,2,,No,Yes,,0,,,0 sqft,,No,"$620,000 ",,,,2,,0,10 - 1 Story,,,No,Closed,0,,,,,,,,,,,,0,,1,Single Family Residence,"Deck, Fenced-Fully, RV Parking",,,,,Septic Tank,,2,,,"3520 88th Street E
Tacoma, WA 98446",,,,Fully Fenced,,1,"2,074 SQFT",,,"$5,817 ",,,,"$620,000 ","2,074 sqft",Midland,1961,Y,64 - Parkland/Midland,,0,0,,,,0,Square Feet,2025-09-18T18:04:13.028Z,,,2,"20,520 sqft",,,2 Baths,,0,,,One,,,Yes,,,,,Composition,,,,,,,Territorial,,0,,2,,"Fruit Trees, Garden Space",Sold,,0.47 Acres,,,,,,0,,Public,No,No,Level,0,0,,,,House,,,,,,,,,No,,"Attached Garage, RV Parking",Main,,Wood,,,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2434110-3520-88th-Street-E-Tacoma-WA-98446/,0.4711,0,,$0 ,3,,"SOLD: SEP 10, 2025",,,Good,0,,Northwest Contemporary,1,,0,Poured Concrete,No,0,3 Beds,,,Pierce,"Paved, Secluded",,,47.1769244,-122.3814728
,"From I-5, 56th St Exit West, Right (north) on Pine St to home on right.",No,No,"Refrigerator, StoveRange",,2,,No,Yes,,0,,,0 sqft,Pine,No,"$346,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Charming South Tacoma bungalow is now available AND at an affordable price! You will not want to miss this 2BR/1BA home with features that include: beautifully refurbished hardwood floors, extra cabin","Charming South Tacoma bungalow is now available AND at an affordable price! You will not want to miss this 2BR/1BA home with features that include: beautifully refurbished hardwood floors, extra cabinetry in the kitchen to allow for ample storage & food prep area, newer roof & hot water heater, and a large fully fenced yard ideal for entertaining & summer BBQ's. There is also alley access with plenty of off-street parking, plus a 1 car garage. This location is a commuter's dream, with easy access to I-5, the Tacoma Mall & shopping/restaurant options just moments away. Schedule a showing today!",,Laundry Area,,Metal/Vinyl,,,0,No,1,,"Cable TV, Fenced-Fully, High Speed Internet, Outbuildings",Street,,"Hardwood, Ceiling Fan(s), Double Pane/Storm Window, Water Heater",,Sewer Connected,City,1,,Baseboard,"5011 S Pine Street
Tacoma, WA 98409",,,,,,1,728 SQFT,,Buyer To Verify,"$3,028 ",Click here,,,"$346,000 ",728 sqft,South Tacoma,1942,,49 - South Tacoma,,0,0,,No,,0,Square Feet,2024-03-05T02:28:10.317Z,,,1,"6,000 sqft",,,1 Baths,Electric,0,0 sqft,Closing,One,Residential,Buyer To Verify,No,,,,,Composition,,"Refrigerator, Stove/Range",,,,,,,0,Electric,1,,,Sold,,0.14 Acres,Buyer To Verify,,,,,0,,Public,No,No,Level,0,0,,,TPU,House,,,,,,"Hardwood, Vinyl",Tacoma,,No,,Detached Garage,,,,,,0,2023,Residential,2,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2192774-5011-S-Pine-Street-Tacoma-WA-98409/,0.1377,,,,2,,"SOLD: MAR 04, 2024",,,Good,0,,,1,,0,Poured Concrete,No,0,2 Beds,"Cash Out, Conventional, FHA, VA Loan",No,Pierce,"Alley, Paved, Sidewalk",,,47.2113061,-122.4734318
,From S. 19 head North on S. Stevens. From S. 12th head south on S. Stevens.,No,No,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,3,,No,Yes,,0,Dining Room,,0 sqft,,Yes,"$480,000 ",,,,1.25,,1,11 - 1 1/2 Story,,,Yes,Closed,0,,,,"Just minutes from 6th Ave, this charming 3 bedroom, 1.5 bath home offers nearly 1, 300 SF of living space, & sits on a spacious size lot with a massive detached 2-car garage. The main floor features a la","Just minutes from 6th Ave, this charming 3 bedroom, 1.5 bath home offers nearly 1,300 SF of living space, & sits on a spacious size lot with a massive detached 2-car garage. The main floor features a large, updated kitchen with quartz countertops, gas range, and designer fixtures. Great sized bedrooms, new baths with stunning tilework, & 2nd story bedrooms/living space with new half bath. Enjoy peek-a-boo views of the Olympic Mountains, a newer furnace and A/C, tankless water heater, and a sprinkler system. Fully fenced with storage shed, RV parking with power hookup, and off-street parking for three as well! The garage has ample storage for all your toys and projects!",,,,,,,1,,2,Single Family Residence,"Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, Outbuildings, Patio",,,,,Sewer Connected,,0,,Forced Air,"1249 S Stevens Street
Tacoma, WA 98405",,,,Fully Fenced,,2,"1,296 SQFT",,Mason,"$4,579 ",,,,"$480,000 ","1,296 sqft",Tacoma,1922,Y,26 - Central Tacoma,,0,0,,,,0,Square Feet,2025-08-11T18:12:11.376Z,,,0,"8,125 sqft",,,1 / 1 Full / Half Baths,Natural Gas,0,0 sqft,Closing,One and One Half,,Delong,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,"Mountain(s), Partial, Territorial",,0,,2,,Garden Space,Sold,,0.19 Acres,Foss,,,,,1,Central A/C,Public,No,No,Partial Slope,1,1,,,TPU,House,,,,,,"Laminate, See Remarks, Carpet",Tacoma,,No,,"Driveway, Detached Garage, Off Street",Main,,Metal/Vinyl,,,No,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2332327-1249-S-Stevens-Street-Tacoma-WA-98405/,0.1865,0,,$0 ,2,,"SOLD: MAR 20, 2025",,,,0,,,2,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Alley, Paved, Sidewalk",,,47.2484045,-122.4954287
,"From I-5, take exit 133 for WA-7 S (cont. & stay left). Continue onto 38th St. RIGHT onto E McKinley. LEFT onto 85th St E. Info Center is on the RIGHT after Golden Given Rd.",No,No,"Dishwasher(s), Double Oven, Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,3,,No,Yes,,0,,,0 sqft,,Yes,"$515,900 ",,,,2,,0,10 - 1 Story,,Monthly,Yes,Closed,0,,,,"The American floor plan is a spacious single-story, 3-bedroom/2-bathroom home, complete with a fully fenced yard! This brand new home features an expansive entertaining area & provides plenty of room f","The American floor plan is a spacious single-story, 3-bedroom/2-bathroom home, complete with a fully fenced yard! This brand new home features an expansive entertaining area & provides plenty of room for everyone to relax. The upgraded kitchen shows off gorgeous wood cabinets topped with crown molding, durable plank flooring & polished granite countertops. In the owner's suite, multiple windows create a light & bright place to relax. LGI Homes also offers: builder-paid closing costs, $0 down options, interest rate buydowns, and MORE! If you are working with a licensed broker, please complete the Prospect Registration Agreement (*Site Registration Policy #4898) & submit prior to your first visit to the Eagle Landing Information Center.",,,,Cement Planked,,,0,No,2,Residential,"Cable TV, Electric Car Charging, Fenced-Fully, High Speed Internet, Patio",,,"Bath Off Primary, Ceiling Fan(s), Double Pane/Storm Window, Dining Room, High Tech Cabling, Laminate Hardwood, Laminate Tile, Walk-In Closet(s), Wall to Wall Carpet, Water Heater",,Sewer Connected,,2,,"90%+ High Efficiency, Forced Air, Heat Pump","8604 13th Avenue Ct E
Tacoma, WA 98445",,,,PartiallyFenced,NWESH Certified,2,"1,157 SQFT",,Morris Ford Mid,$0 ,,Eagle Landing,,"$515,900 ","1,157 sqft",Midland,2024,Y,64 - Parkland/Midland,,0,0,,,"CCRs, Park, Playground, Trail(s)",0,Square Feet,2025-01-30T12:04:23.410Z,,Northwest ENERGY STAR,2,4700,,,2 Baths,"Electric, Natural Gas",0,0 sqft,Closing,One,,Harvard Elem,Yes,,,,,Composition,,"Dishwasher(s), Double Oven, Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,Hybrid Electric,2,,,Sold,,0.11 Acres,Franklin-Pierce High,30,,,LGI Homes,0,"90%+ High Efficiency, Central A/C, Forced Air, Heat Pump",Public,Yes,No,,0,0,,,Tacoma Public Utilities,House,,,,,,"Laminate, Vinyl Plank, Carpet",Franklin Pierce,,No,,"Driveway, Attached Garage",,,,,,Yes,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2312889-8604-13th-Avenue-Ct-E-Tacoma-WA-98445/,0.1079,0,,$70 ,3,,"SOLD: DEC 30, 2024",,,Under Construction,0,,Craftsman,2,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Dead End Street, Paved, Sidewalk",,,47.1790853,-122.4111385
,"South on Pacific, L on 131st, R Golden Given, L 137th, R on 13th Ave Ct E, home on corner",Yes,No,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,5,,No,Yes,,0,,,0 sqft,,No,"$531,000 ",,,,1.75,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Discover this delightful rambler- 5 Bedroom(s) & 2 Bath(s) home w/ beautiful updates. Open Space living areas. The kitchen is a chefs dream, featuring sleek slab quartz countertops, stainless steel app","Discover this delightful rambler- 5 Bedroom(s) & 2 Bath(s) home w/ beautiful updates. Open Space living areas. The kitchen is a chef’s dream, featuring sleek slab quartz countertops, stainless steel appliances, and spacious cabinets, unwind by the rock fireplace in the living-dinning room, perfect for cozy evenings. Enjoy FULL Mount Rainier Views. NO HOA, this home has everything that you are looking for! Situated on a spacious level lot. The backyard is ideal for outdoor fun with the coverage patio on a fully fenced backyard. Garden space, RV/Boat parking and more. This prime location offers easy access to schools, healthcare, restaurants, and a nearby military base.",,,,Wood,,,1,No,2,,,,,"Bath Off Primary, Double Pane/Storm Window, Dining Room, Fireplace, Laminate",,Available,,1,,Forced Air,"13702 13th Avenue Ct E
Tacoma, WA 98445",,,,,,2,"1,796 SQFT",,Perry G Keithley Mid,"$4,881 ",,Mayfair 2nd ADD,,"$531,000 ","1,796 sqft",Brookdale,1960,Y,68 - Parkland,,0,0,,,,0,Square Feet,2024-10-21T18:54:09.013Z,,,1,"15,000 sqft",,,2 Baths,Electric,0,0 sqft,Closing,One,Residential,Elmhurst Elem,No,,,,,Cedar Shake,,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,,2,,"Fruit Trees, Garden Space",Sold,,0.34 Acres,Wash High,1,,,,0,,Public,No,No,Level,1,0,,,Parkland Light & Water,House,,,"Cash Out, Conventional, FHA, VA Loan",Wood Burning,,Laminate,Franklin Pierce,,No,,Detached Garage,,,,,,No,2024,Residential,5,,Tacoma,,15000,https://www.premierepropertygroup.com/property/21-2293437-13702-13th-Avenue-Ct-E-Tacoma-WA-98445/,0.3444,1,1,$0 ,5,,"SOLD: OCT 21, 2024",,,Remodeled,0,,,2,,0,Poured Concrete,No,0,5 Beds,,,Pierce,"Corner Lot, Paved",,,47.1314108,-122.411356
,"I-5 to Portland Ave E, South on Portland Ave E for 1.5 miles, then left on E 59th St. House will be about a quarter of a mile down on the right.",No,No,"Dishwasher(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,4,,No,Yes,,0,Water Heater,,0 sqft,,No,"$390,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"WOW $35, 000 PRICE REDUCTION! Discover the perfect blend of style and comfort in this newly remodeled rambler! With over 1, 000 square feet of thoughtfully designed living space, this 4-bed, 1-bath home","WOW $35,000 PRICE REDUCTION! Discover the perfect blend of style and comfort in this newly remodeled rambler! With over 1,000 square feet of thoughtfully designed living space, this 4-bed, 1-bath home is move-in ready. Step inside to find durable laminate flooring throughout the main areas, plush carpet in the bedrooms, and an updated kitchen featuring brand-new cabinets, quartz countertops, and sleek finishes. Outside, the large, fenced backyard is perfect for gatherings, play, or relaxation, while the 1-car garage adds convenience and storage. Modern upgrades and cozy charm make this house the perfect place to call home.",,garage,,,,,0,,1,Single Family Residence,,,,,,Sewer Connected,,1,,Baseboard,"1226 E 59th Street
Tacoma, WA 98404",,,,,,1,"1,008 SQFT",,Buyer To Verify,"$3,429 ",,,,"$390,000 ","1,008 sqft",Se Tacoma,1970,Y,61 - Southeast Tacoma,,0,0,,,,0,Square Feet,2025-08-24T11:04:12.426Z,,,1,"6,000 sqft",,,1 Baths,Electric,0,,Closing,One,,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,electric,1,,,Sold,,0.14 Acres,Buyer To Verify,,,,,0,,Public,No,No,Level,0,0,,,,House,,,,,,Vinyl Plank,Tacoma,,No,,Attached Garage,,"Bank Or REO, None","Wood, Wood Products",,,No,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2319799-1226-E-59th-Street-Tacoma-WA-98404/,0.1377,0,,$0 ,4,,"SOLD: JUL 24, 2025",,,Updated/Remodeled,0,,,1,,0,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,Paved,,,47.2033653,-122.4120624
,GPS Friendly  From North Tacoma Ave & Division go West to property.,Yes,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Partially Finished,6,,No,Yes,,0,"Bath Off Primary, Ceiling Fan(s), Double Pane/Storm Window, Dining Room, Fireplace, French Doors, Water Heater",,0 sqft,,No,"$1,095,000 ",,,,2.75,,5,15 - Multi Level,,,Yes,Closed,0,,,,"Vintage Craftsmen located in the highly sought-after Stadium District is just 2 blocks from the Tacoma Lawn Tennis Club & near to Annie Wrights, Stadium High, Lowell School & Garfield Park. This Classi","Vintage Craftsmen located in the highly sought-after Stadium District is just 2 blocks from the Tacoma Lawn Tennis Club & near to Annie Wrights, Stadium High, Lowell School & Garfield Park. This Classic gem features 6BD & 3BA. Foyer embraces open staircase, impeccable mahogany millwork & 1930 retro vintage sconce fixtures. Spacious living room is graced with grand windows, hardwoods, fireplace & built ins. Office/Bedroom on main has 1/2 bath. 2nd floor enjoys Primary suite, 2 lovely bedrooms, full bath & incredible sunroom w/plumbing, wood stove & deck. Very Top floor has 2 fun bedrooms. Basement area allows for ping pong, laundry & storage. Vintage kitchen w/Dutch door overlooks yard, patio & breeze way that leads to 2 car attached garage.",,Basement,,,,,0,No,2,Single Family Residence,"Fenced-Partially, Gas Available, Outbuildings, Patio",,,,,Sewer Connected,,1,,Radiant,"518 N Tacoma Avenue
Tacoma, WA 98403",,,,,,2,"3,895 SQFT",,Hilltop Heritage Middle,"$10,196 ",,New Tacoma,,"$1,095,000 ","4,150 sqft",Stadium District,1930,Y,20 - North Tacoma,,0,0,,,,0,Square Feet,2025-05-18T11:04:15.163Z,,,0,"9,620 sqft",,1,2 / 2 Full / Half Baths,"Electric, Natural Gas",1,0 sqft,Closing,Multi/Split,,Lowell,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,"See Remarks, Sound, Territorial",,2,Gas,4,,"Fruit Trees, Garden Space",Sold,,0.22 Acres,Stadium,4,,,,0,,Public,No,No,Level,1,2,,,TPU,House,,,,"See Remarks, Wood Burning",,"Hardwood, See Remarks, Vinyl, Carpet",Tacoma,,No,,"Driveway, Attached Garage, Off Street",,,Wood,,North,No,2024,Residential,6,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2342801-518-N-Tacoma-Avenue-Tacoma-WA-98403/,0.2208,2,1,$0 ,1,,"SOLD: APR 17, 2025",,,Good,0,,Craftsman,2,,1,Poured Concrete,No,0,6 Beds,"Cash Out, Conventional, VA Loan",,Pierce,"Curbs, Paved, Sidewalk",,,47.2664133,-122.4549524
,"From Pacific Ave, turn east onto 99th St. E., Turn South onto A St S., Turn east onto 104th St. E. to 3rd Ave. E. entrance into Maple Ridge.",Yes,No,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), See Remarks, Stove(s)/Range(s), Washer(s)",,,,No,Yes,,0,"Bath Off Primary, Ceiling Fan(s), Double Pane/Storm Window, Dining Room, Fireplace, High Tech Cabling, Security System, Skylight(s), Sprinkler System, Vaulted Ceiling(s), Walk-In Closet(s), Water Heater",,0 sqft,,Yes,"$415,000 ",,,,1.75,,0,32 - Townhouse,,Monthly,Yes,Closed,0,,,,"Well maintained 1 level living, 3bd 1.75 bath townhome. Kitchen has newer stainless steel appliances, quartz countertops with tile backsplash. This perfect layout features vaulted ceilings with skyligh","Well maintained 1 level living, 3bd 1.75 bath townhome. Kitchen has newer stainless steel appliances, quartz countertops with tile backsplash. This perfect layout features vaulted ceilings with skylights for natural lighting and open concept. Beautiful large sized patio with fenced backyard also maintained by HOA! New roof, new hot water tank, new paint inside and out. Peaceful gated neighborhood with park. Nothing to do but move in!",,Garage,,,,,1,,2,Single Family Residence,"Cable TV, Fenced-Fully, Gas Available, Gated Entry, Patio, Sprinkler System",,,,,Sewer Connected,,1,,90%+ High Efficiency,"310 105th Street E
Tacoma, WA 98445",,,,"Fully Fenced, Security Gate, Security System",,2,"1,386 SQFT",,Morris Ford Mid,$718 ,,Maple Ridge,,"$415,000 ","1,386 sqft",Tacoma,1996,Y,64 - Parkland/Midland,,0,0,,,"CCRs, Gated, Park",0,Square Feet,2025-09-07T11:03:29.337Z,,,1,4205,,,2 Baths,"Electric, Natural Gas",0,,See Remarks,Multi/Split,,Midland Elem,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), See Remarks, Stove(s)/Range(s), Washer(s)",,,,,,,0,Gas,2,,,Sold,,0.10 Acres,Franklin-Pierce High,11,,,Rush Construction,0,"Central A/C, Forced Air",Public,No,No,Level,1,0,,,Parkland,Townhouse,,,,Gas,,"Hardwood, Vinyl, Carpet",Franklin Pierce,,No,,Attached Garage,Main,,"Cement Planked, Wood Products",,,Yes,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2398472-310-105th-Street-E-Tacoma-WA-98445/,0.0965,1,1,$316 ,3,,"SOLD: AUG 07, 2025",,,Very Good,0,,,2,,0,Slab,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Cul-De-Sac, Open Space, Paved",,,47.1618669,-122.4268256
,,Yes,No,,,3,,No,Yes,,0,,,0 sqft,,No,"$525,678 ",,,,1.5,,0,10 - 1 Story,,,Yes,Closed,0,,,,,,,,,"Brick, Wood",,,0,No,2,Residential,Patio,,,Fireplace,,Sewer Connected,,1,,Forced Air,"1414 N Shirley Street
Tacoma, WA 98406",,,,,,2,"1,446 SQFT",,,"$2,965 ",,,,"$525,678 ","1,446 sqft",Westgate,1960,Y,24 - North Tacoma,,0,0,,,,0,Square Feet,2024-12-13T21:28:10.525Z,,,1,"8,712 sqft",,,1 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,,One,,,Yes,,,,,Composition,,,,,,,,,1,,2,,,Sold,,0.20 Acres,,,,,,0,,Public,No,No,Level,0,1,,,Tacoma Public Utilities,House,,,,,,,Tacoma,,No,,Attached Garage,,,,,,No,2024,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2316620-1414-N-Shirley-Street-Tacoma-WA-98406/,0.2,1,1,$0 ,3,,"SOLD: DEC 12, 2024",,,,0,,,2,,0,,No,0,3 Beds,,,Pierce,"Alley, Curbs, Paved, Sidewalk",,,47.2633168,-122.5109383
,"From I-5, take the 72nd exit, go West onto S 74th, Right on S Tyler, home will be on the Right",No,No,"Refrigerator(s), Stove(s)/Range(s)",,,,No,Yes,,0,"Ceiling Fan(s), Double Pane/Storm Window, Skylight(s), Vaulted Ceiling(s)","1,681 sqft",0 sqft,,No,"$325,000 ",,,,0.75,,0,12 - 2 Story,,,Yes,Closed,0,,,,"Unlock the potential of this vintage Tacoma equity opportunity! Set on a spacious .20 acre lot, this fixer offers a detached garage and storage shed, all within walking distance to Star Center, South En","Unlock the potential of this vintage Tacoma equity opportunity! Set on a spacious .20 acre lot, this fixer offers a detached garage and storage shed, all within walking distance to Star Center, South End Recreation & Adventure Campus, schools, and parks. Minutes to I-5 access, and an array of shopping and dining options. Inside, you’ll find multiple main-floor living spaces, a large kitchen, and a massive upstairs loft bonus room with vaulted ceilings. Bring your vision, recreate this home, and make it shine!",,,,,,,1,,1,Single Family Residence,"Cable TV, Fenced-Partially, Gas Available, Outbuildings, RV Parking",,,,,Sewer Connected,,0,,Wall Unit(s),"6931 S Tyler Street
Tacoma, WA 98409",,,,Partially Fenced,,1,"1,681 SQFT",,Gray,$252 ,,,,"$325,000 ","1,681 sqft",Manitou,1925,Y,45 - South Tacoma,,0,0,,,,0,Square Feet,,,,0,"8,712 sqft",,,1 Baths,"Electric, Natural Gas",0,,Closing,Two,,,No,,,,,Composition,,"Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,,1,,,Sold,,0.20 Acres,Mt Tahoma,,,,,0,,Public,No,No,Level,1,0,,,TPU,House,,,,,,"Vinyl, Carpet",Tacoma,,No,,"Driveway, Detached Garage, Off Street, RV Parking",Main,,Wood Products,,West,No,2025,Residential,2,,Tacoma,,approx 130x68,https://www.premierepropertygroup.com/property/21-2466377-6931-S-Tyler-Street-Tacoma-WA-98409/,0.2,0,,$0 ,2,,"SOLD: FEB 06, 2026",,,Fixer,0,,Traditional,,,0,,No,0,2 Beds,Cash Out,,Pierce,"Paved, Sidewalk",,,47.1936526,-122.4926372
